שם צבע (Color Name),קוד צבע (Color Code),RGB,HEX
SWAN WING,OW11P,"rgb(245,235,217)",#F5EBD9
Snow White,OW201P,"rgb(245,239,225)",#F5EFE1
White Lace,OW211P,"rgb(241,238,227)",#F1EEE3
INTIMATE WHITE,OW212P,"rgb(238,231,220)",#EEE7DC
Hush White,OW221P,"rgb(240,236,225)",#F0ECE1
Mobe Pearl,OW222P,"rgb(236,226,215)",#ECE2D7
ASH WHITE,OW241P,"rgb(229,227,220)",#E5E3DC
Light Approach,OW251P,"rgb(243,228,208)",#F3E4D0
Fine Linen,OW501P,"rgb(245,239,226)",#F5EFE2
Open Up,OW502P,"rgb(243,236,222)",#F3ECDE
Moon Dance,OW503P,"rgb(240,233,218)",#F0E9DA
Take My Hand,OW504P,"rgb(237,223,202)",#EDDFCA
Freedom,OW505P,"rgb(246,234,220)",#F6EADC
Feather Touch,OW506P,"rgb(241,229,211)",#F1E5D3
In My Mind,OW507P,"rgb(237,226,208)",#EDE2D0
ICE CAFE,OW508P,"rgb(228,211,187)",#E4D3BB
Awakening,OW509P,"rgb(243,238,225)",#F3EEE1
Loveliness,OW510P,"rgb(237,230,220)",#EDE6DC
Desert Dream,OW511P,"rgb(231,220,204)",#E7DCCC
Lonely Day,OW512P,"rgb(222,213,201)",#DED5C9
Cheese Cake,OW513P,"rgb(242,238,225)",#F2EEE1
Pleasant Day,OW514P,"rgb(240,232,217)",#F0E8D9
Just Another Day,OW515P,"rgb(228,227,218)",#E4E3DA
Soft Words,OW516P,"rgb(230,220,207)",#E6DCCF
Beautiful Day,OW517P,"rgb(244,232,218)",#F4E8DA
Soft Blush,OW518P,"rgb(244,231,221)",#F4E7DD
Blushing Rose,OW519P,"rgb(235,226,216)",#EBE2D8
Mirage,OW520P,"rgb(223,219,212)",#DFDBD4
Precious,OW521P,"rgb(241,235,223)",#F1EBDF
Lace,OW522P,"rgb(235,229,223)",#EBE5DF
Morning Time,OW523P,"rgb(235,229,220)",#EBE5DC
Fine Day,OW524P,"rgb(230,224,213)",#E6E0D5
Snow Peaks,OW525P,"rgb(242,237,226)",#F2EDE2
Fine Canvas,OW526P,"rgb(238,232,220)",#EEE8DC
Perfect Day,OW527P,"rgb(232,225,219)",#E8E1DB
MATIN E,OW528P,"rgb(228,220,207)",#E4DCCF
Morning Prayer,OW529P,"rgb(244,234,222)",#F4EADE
JAMAICA,OW530P,"rgb(232,228,218)",#E8E4DA
Time After Time,OW531P,"rgb(230,226,216)",#E6E2D8
At Ease,OW532P,"rgb(226,220,213)",#E2DCD5
Love in White,0001P,"rgb(242,236,225)",#F2ECE1
Water Lilies,0002P,"rgb(243,235,225)",#F3EBE1
Endless Love,0003P,"rgb(242,232,219)",#F2E8DB
White Pebbles,0004P,"rgb(240,229,215)",#F0E5D7
Creamy Pie,0005P,"rgb(242,237,226)",#F2EDE2
Summer White,0006P,"rgb(239,232,217)",#EFE8D9
Jute,0007P,"rgb(237,231,220)",#EDE7DC
Softest Silk,0008P,"rgb(236,230,218)",#ECE6DA
Prosperity,0009P,"rgb(243,236,225)",#F3ECE1
Blossom Touch,0010P,"rgb(243,235,222)",#F3EBDE
Hush,0011P,"rgb(238,231,220)",#EEE7DC
Open Sesame,0012P,"rgb(235,224,204)",#EBE0CC
Cotton Touch,0013P,"rgb(239,235,225)",#EFEBE1
Happy Daisy,0014P,"rgb(240,233,220)",#F0E9DC
